OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
556,131537779,2012-10-15,2,01857201,Black Creek Reservoir,0.14883832,0,12030104000692,390,39004,500000,0.0233102838632,1.44157762086e-5,148838.31962800032
3496,131537411,2005-01-19,2,NA,NA,0.139,0,12030104000689,390,39004,1000000,0.0197902033808,1.35146823336e-5,139468.5061250577
10272,101703971,2003-09-04,2,NA,NA,0.092,0,12030101016649,390,39004,500000,0.0261890668986,8.9136443834e-6,92050.15901051955
15721,101699269,2003-09-04,2,NA,NA,0.076,0,12030101014317,390,39004,250000,0.0205840700851,7.39383769486e-6,76301.33509390926
1624,131537851,2005-01-19,2,NA,NA,0.063,0,12030104014351,390,39004,250000,0.0141247062495,6.05903216782e-6,62567.29675567666
66,131537074,2005-01-19,2,NA,NA,0.053,0,12030104000683,390,39004,250000,0.0104569984641,5.11495753079e-6,52766.04952596492
3592,131537035,2005-01-19,2,NA,NA,0.051,0,12030104000682,390,39004,250000,0.0120189078423,4.9131080781e-6,50682.51299769059
2558,131537560,2005-01-19,2,NA,NA,0.047,0,12030104000690,390,39004,250000,0.00932114660166,4.51907518155e-6,46643.07128600422
481,131537069,2005-01-19,2,NA,NA,0.044,0,12030104000681,390,39004,250000,0.0220398826777,4.27985231778e-6,44149.99927473687
479,131537182,2005-01-19,2,NA,NA,0.041,0,12030104000685,390,39004,250000,0.00895047105621,3.96942826321e-6,40953.68432751205
1983,131537773,2005-01-19,2,NA,NA,0.03,0,12030104014260,390,39004,250000,0.00862082310029,2.92058803093e-6,30153.756947681773
1144,131537175,2005-01-19,2,NA,NA,0.027,0,12030104013700,390,39004,250000,0.00951364135364,2.58261318312e-6,26645.273686182372
5546,131537439,2005-01-19,2,NA,NA,0.026,0,12030104013954,390,39004,250000,0.00714265245034,2.48712857896e-6,25667.747204745952
4849,131537839,2005-01-19,2,NA,NA,0.025,0,12030104014336,390,39004,250000,0.00780874458477,2.38244704821e-6,24600.539704161696
557,131537733,2005-01-19,2,NA,NA,0.023,0,12030104014240,390,39004,250000,0.0103510761657,2.18986077987e-6,22608.67862905161
4762,131537045,2005-01-19,2,NA,NA,0.02,0,12030104013585,390,39004,250000,0.00689728467324,1.92401165624e-6,19847.770366716795
4462,131537843,2005-01-19,2,NA,NA,0.017,0,12030104014339,390,39004,100000,0.00701884278668,1.69111907475e-6,17461.963992171455
18877,101702407,2003-09-04,2,NA,NA,0.013,0,12030101016023,390,39004,100000,0.00609325854932,1.22486239618e-6,12646.153071473818
2924,131537224,2005-01-19,2,NA,NA,0.011,0,12030104013749,390,39004,100000,0.00976117854362,1.09143138103e-6,11261.090599595525
